"","new_line","line","month","day","protest","march.demonstration","strike","occupation","blockade","hunger.strike","location","number","police","violence","damage","organization","text"
"16",1,114,1,0,0,0,0,0,0,0,"","",0,0,0,"","Honduras mayo – agosto 2003"
"17",1,5,1,0,0,0,0,0,0,0,"","",0,0,0,"","Honduras mayo – agosto 2003"
"6",5,9,0,0,1,1,0,0,0,0,"San Pedro Sula, Cort�s","20000~",0,0,0,"Federaci�n de Sindicatos de Trabajadores Nacionales de Honduras (FESITRANH), Confederaci�n Unitaria de Trabajadores de Honduras (CUTH), Bloque Popular","Cerca de 20 mil trabajadores de la zona norte, convocados por la Federación de Sindicatos de Trabajadores Nacionales de Honduras (FESITRANH), por la Confederación Unitaria de Trabajadores de Honduras (CUTH) y por el Bloque Popular, realizan una marcha por las calles de San Pedro Sula en conmemoración al Día Internacional de los Trabajadores. Los manifestantes expresan su inconformidad con la política que está llevando adelante el gobierno del presidente Maduro y queman una bandera de EE. UU. En Tegucigalpa, más de 45 mil trabajadores afiliados a unas 70 organizaciones sindicales marchan hasta el parque La Merced, mientras protestan contra la condonación de 2 mil millones de lempiras a los grandes productores agrícolas, la privatización de los sistemas de salud y educación, el Área de Libre Comercio de las Américas (ALCA), el Plan Puebla Panamá (PPP), el Tratado de Libre Comercio (TLC) con EE.UU. y la guerra contra Irak. En La Ceiba, Atlántida, cerca de 8 mil trabajadores pertenecientes a varios sindicatos de la zona afiliados a FESITRANH, marchan hasta el Parque Central donde tiene lugar el acto principal, y exigen al gobierno que garantice todas las prestaciones y conquistas laborales y sociales en la industria de la maquila. Por su parte, más de 2 mil personas, en su mayoría sindicalistas y campesinos, marchan en la ciudad de El Progreso hasta la Plaza del Obrero contra los ajustes económicos del gobierno central y la administración de la alcaldesa Nelly Solimán. También en Tocoa, Colón, unas 5 mil personas marchan por las calles de la ciudad, lanzando severas críticas contra el modelo neoliberal."
"22",9,13,0,0,1,0,1,0,0,0,"","",0,0,0,"Colegio de Profesores de Educaci�n Media de Honduras (COPEMH)","Los docentes pertenecientes al Colegio de Profesores de Educación Media de Honduras (COPEMH) realizan un paro de 24 hs a nivel nacional, porque la Secretaría de Educación mantiene congelados los concursos para las direcciones departamentales y las plazas de docentes de primaria y media que quedaron vacantes por jubilaciones, licencias e incapacidades."
"27",13,17,0,0,1,1,0,0,0,0,"Tegucigalpa, Francisco Moraz�n","100+",0,0,0,"Frente Unido Universitario Democr�tico (FUUD), Sindicato de Trabajadores de la UNAH (SITRAUNAH)","Luego de que la Sala Constitucional de la Corte Suprema de Justicia (CSJ) admite un recurso de amparo que suspende las elecciones del rector y secretario de la Universidad Autónoma de Honduras (UNAH), centenares de estudiantes universitarios procedentes de diversas ciudades, se congregan en el campus de la misma, convocados por el Frente Unido Universitario democrático (FUUD) y marchan hasta la CSJ y el Congreso Nacional, para manifestar en contra de los altos magistrados y de los planes del gobierno de interrumpir las elecciones. Por su parte, miembros del Sindicato de Trabajadores de la UNAH (SITRAUNAH) junto con integrantes del Bloque Popular, realizan una protesta frente a la sede del Poder Judicial en la que exigen respeto a la autonomía universitaria. Asimismo, cerca de 3 mil estudiantes universitarios y más de un centenar de docentes de los centros regionales de todo el país, cortan la carretera del norte por espacio de una hora y luego parten en caravana hasta la capital, en apoyo al director del Centro Universitario Regional del Centro (CURC), Mario Pineda, para que sea electo rector."
"8",17,24,0,0,1,0,0,0,1,0,"","",0,0,0,"","Cientos de propietarios y conductores de autobuses interurbanos toman durante 3 hs, 6 puntos de la carretera que comunica los departamentos de Colón, Atlántida y Yoro, para exigir que se intervenga la Dirección Nacional de Transporte y que no se autoricen más vías urbanas e interurbanas en el litoral atlántico."
"36",18,26,0,0,1,0,0,0,1,0,"El Progreso, Yoro","400~",0,0,0,"Trabajadores de la Compa��a Bananera Hondure�a SA (COBAHSA)","Unos 400 trabajadores de la Compañía Bananera Hondureña SA (COBAHSA), propiedad del estado, toman por tiempo indefinido el puente de la carretera que une las ciudades de El Progreso y Tela, a la altura de Quebrada Seca, en demanda del inmediato pago del decimotercer mes de salario y 4 semanas de sueldo."
"35",22,30,0,0,1,0,0,0,1,0,"El Progreso, Yoro","150~",0,0,0,"","Unos 150 pobladores de El Progreso, Yoro, aglutinados en la Asamblea Permanente Contra las Privatizaciones, toman por espacio de media hora el puente La Democracia en rechazo a la posible aprobación de la Ley Marco del Sector Agua Potable y Alcantarillado Sanitario. La ley transfiere los sistemas de agua y saneamiento que opera el Servicio Autónomo Nacional de Acueductos y Alcantarillados (SANAA) a los gobiernos municipales respectivos, posibilitando una futura privatización del servicio. Por su parte, integrantes del Bloque Popular realizan una protesta en los bajos del Palacio Legislativo por el mismo motivo, mientras que en el Valle de Aguán, diferentes organizaciones entre las que se encuentran patronatos, comités de desarrollo locales, juntas de agua, organizaciones campesinas y docentes, bloquean durante más de 4 hs la carretera principal que conduce de Tocoa a Trujillo. Rechazan también la pretensión de desalojar a 600 familias que integran el Movimiento Campesino del Aguán (MCA) en Silín, Trujillo. "
"33",26,34,0,0,1,0,0,0,1,0,"El Progreso, Yoro","900~",0,0,0,"","Unas 900 personas entre padres de familia, maestros y alumnos del Centro de Educación Básica Francisco Morazán de la comunidad de Guaymitas, cortan la carretera que conduce de El Progreso al puerto de Tela y luego toman la Dirección Distrital de Educación, exigiendo el nombramiento de más maestros en ese centro educativo."
"20",30,41,0,0,0,0,0,0,0,0,"","",0,0,0,"","La alianza formada por el Partido Nacional y la Democracia Cristiana en el Congreso Nacional, aprueba un polémico acuerdo entre Honduras y EE.UU., mediante el cual los hondureños presentes en territorio norteamericano, y viceversa, no serán entregados ni trasladados por ningún medio a la Corte Penal Internacional, para ningún propósito, salvo consentimiento expreso de su país de origen."
"21",31,43,0,0,0,0,0,0,0,0,"","",0,0,0,"","Las Fuerzas Armadas de Centroamérica acuerdan en Honduras fortalecer el combate al terrorismo y el crimen organizado en la región mediante acciones conjuntas, así como reforzar el equipamiento y materiales de la Unidad Humanitaria y de Rescate que los ejércitos centroamericanos mantienen para afrontar desastres naturales.i Junio Miércoles 4"
