"","new_line","line","month","day","protest","march.demonstration","strike","occupation","blockade","hunger.strike","location","number","police","violence","damage","organization","text"
"22",1,81,1,0,0,0,0,0,0,0,"","",0,0,0,"","Paraguay enero – abril 2003"
"23",1,5,1,0,0,0,0,0,0,0,"","",0,0,0,"","Paraguay enero – abril 2003"
"20",5,9,0,0,1,1,0,0,0,0,"Asunci�n, Gran Asunci�n","",0,0,0,"Vendedores Informales","Los vendedores informales de la calle Palma de la capital se instalan frente a la Secretaría Nacional de Turismo (SENATUR) para oponerse a los constantes desalojos de los que son objeto. "
"4",7,11,1,0,0,0,0,0,0,0,"","",0,0,0,"","Febrero Martes 11"
"7",9,15,0,0,0,0,0,0,0,0,"","",0,0,0,"","La cámara de senadores vota a favor de la inocencia del presidente González Macchi, en el juicio político por corrupción y mal desempeño de sus funciones, iniciado el 23 de enero. Sin defender su gestión, argumentan la no conveniencia de cambio de gobierno, a dos meses de los comicios generales.  "
"17",13,19,0,0,0,0,0,0,0,0,"","",0,0,0,"","Los médicos de Misiones inician un paro escalonado, en solidaridad con cinco profesionales del hospital regional de San Juan Bautista, imputados por homicidio culposo. El gremio médico de salud pública sostiene que la carencia de insumos y medicamentos básicos expone a todo el personal de salud a ser demandado por mala praxis. "
"3",17,23,0,0,1,1,0,0,0,0,"Asunci�n, Gran Asunci�n","",0,0,0,"Organizaciones Sociales","Debido a que no les permiten avanzar hasta la embajada norteamericana, unas 20 organizaciones sociales y políticas de izquierda se manifiestan en Asunción sobre la Av. "
"2",22,27,0,0,0,0,0,0,0,0,"","",0,0,0,"","Comienzan las clases en las instituciones educativas de todos los niveles, de acuerdo a lo dispuesto por el Ministerio de Educación. Con todo, numerosos maestros de la Federación de Educadores (FEP) se resisten a esta imposición y anuncian que comenzarán el ciclo lectivo el 3 de marzo, tal como lo indica el calendario académico."
"12",26,32,0,0,0,0,0,0,0,0,"","",0,0,0,"","Las gasolineras ponen fin al desabastecimiento de gasoil que habían comenzado el 12 de febrero, luego de que el Poder Ejecutivo establece un nuevo sistema de bonificaciones para la venta de combustible. "
"6",30,36,0,0,1,0,0,0,1,0,"","",1,0,0,"Confederaci�n Nacional de Organizaciones Populares - Movimieto Sin Techo (CONOP-MST)","Integrantes de la Confederación Nacional de Organizaciones Populares - Movimieto Sin Techo (CONOP-MST) cierran la ruta Mariscal Estigarribia, km 10, tras un recorte gubernamental a los fondos para la adquisición de tierras y viviendas de personas de la CONOP. Se enfrentan a la Policía, hasta que ésta logra dispersarlos. Cierran la ruta Acceso Sur a la altura de la embotelladora Coca-Cola, donde también son reprimidos, tras lo cual marchan hasta el Ministerio de Hacienda. "
"8",34,40,0,0,1,0,1,0,0,0,"","",0,0,0,"Central Sindical de Trabajadores del Estado (CESITEP), Sindicato de Trabajadores del Ministerio de Salud (SITRAMIS)","La Central sindical de trabajadores del Estado (CESITEP) y el Sindicato de trabajadores del Ministerio de Salud (SITRAMIS) decretan una jornada de brazos caídos, para reclamar aumento salarial. "
"21",36,42,1,0,0,0,0,0,0,0,"","",0,0,0,"","Marzo Martes 4"
"13",38,46,0,0,0,0,0,0,0,0,"","",0,0,0,"","Los camioneros fleteros del departamento de Paraná levantan el paro iniciado el día anterior, a la espera de un acuerdo por el precio del flete con los empresarios aglutinados en la Cámara Paraguaya de Exportadores de Cereales y Oleaginosas (CAPECO). "
"19",42,50,0,0,1,0,1,0,0,0,"Asunci�n, Gran Asunci�n","",0,0,0,"Maestros","Los principales colegios nacionales de Capital y área metropolitana no dan clases durante la jornada, en reclamo de mayor presupuesto para Educación. Docentes, padres y alumnos se manifiestan frente al Ministerio de Hacienda. "
"14",43,52,0,0,0,0,0,0,0,0,"","",0,0,0,"","Los camioneros fleteros y la COPACO acuerdan un precio de flete de 86 mil toneladas, por la cual la Dirección Nacional de Transporte (DINATRAN) suspende hasta el 30 de marzo el límite al ingreso de los fleteros brasileños. "
"1",47,56,0,0,0,0,0,0,0,0,"","",0,0,0,"","Bajo una fuerte presión de los sectores educativos, la Cámara de Diputados aprueba el pedido de ampliación presupuestaria para el sector. "
"9",50,63,0,0,1,1,0,0,0,0,"Encarnaci�n, Itap�a","",0,0,0,"Coordinadora Nacional de Mujeres Trabajadoras Rurales e Ind�genas (CONAMURI), Foro Social Regional de Itap�a","La Coordinadora Nacional de Mujeres Trabajadoras Rurales e Indígenas (CONAMURI) y el Foro Social Regional de Itapúa encabezan una manifestación por las calles de Encarnación para, en coincidencia con el Día Internacional de las Mujeres, exigir la suspensión de las fumigaciones de plantaciones cercanas a comunidades campesinas y la atención de los problemas sanitarios para la población afectada por agrotóxicos en la zona de Edelira. "
"15",54,67,0,0,1,0,1,0,0,0,"Asunci�n, Gran Asunci�n","",0,0,0,"Organizaci�n de Trabajadores de la Educaci�n de Paraguay (OTEP)","Los docentes de la mayoría de los colegios públicos paran durante la jornada y los agremiados a la Organización de Trabajadores de la Educación de Paraguay (OTEP) realizan una manifestación frente al Ministerio de Hacienda, en reclamo del pago de los salarios adeudados. "
"10",58,71,0,0,0,0,0,0,0,0,"Puerto Casado, Alto","",0,0,0,"","La población de Puerto Casado, departamento de Alto Paraguay, Chaco, decide en asamblea rechazar un anteproyecto de ley para expropiar a la empresa Victoria S.A., propiedad de la secta Moon, y devolverle a la comunidad 50 mil hectáreas de tierra. "
"25",63,75,0,0,1,1,0,0,0,0,"Asunci�n, Gran Asunci�n","7000~",0,0,0,"Federaci�n Nacional Campesina (FNC)","Unos 7 mil campesinos de todo el país de la Federación Nacional Campesina (FNC) realizan la décima manifestación anual “del campesinado pobre” por las calles de Asunción. Marchan hasta el Congreso, donde piden al gobierno que aplique un plan de industrialización del algodón y que la banca pública otorgue créditos a los sectores productivos. "
"11",67,79,0,0,1,0,1,0,0,0,"","",0,0,0,"Uni�n de Camioneros del Paraguay","La Unión de Camioneros del Paraguay comienza un paro indefinido, ante la falta de respuesta por parte del Gobierno a sus reclamos. Piden que se respete el precio de 86 guaraníes por kilo, para una distancia de 320 km, acordado con los exportadores. "
"5",71,85,0,0,1,1,0,0,0,0,"Asunci�n, Gran Asunci�n","",0,0,0,"Ind�genas de la Comunidad Enxet","Indígenas de la comunidad Enxet, que viven desde hace años a la vera de la ruta Transchaco, marchan desde la Plaza Italia hasta la Plaza de la Democracia, Asunción, para exigir la recuperación de sus tierras ancestrales en el Chaco Paraguayo, que permanecen en manos de una familia del departamento de Presidente Hayes. "
"16",75,93,0,0,1,0,1,0,0,0,"Asunci�n, Gran Asunci�n","",0,0,0,"","Los funcionarios del Hospital Materno Infantil San Pablo, Asunción, comienzan una huelga de 72 hs. en reclamo de aumento salarial y bonificaciones familiares, y de la destitución de la directora del instituto, a quien acusan de maltrato y discriminación."
"24",79,97,0,0,0,0,0,0,0,0,"","",0,0,0,"","Tras la resolución del ministro de Salud Pública de rescindir el contrato de nueve empleados y descontar el sueldo a 31 personas que participan de la huelga, los funcionarios del Hospital San Pablo levantan la medida iniciada el día anterior, a cambio de la recontratación de seis de los nueve afectados. "
"18",83,101,0,0,0,0,0,0,0,0,"","",0,0,0,"","Los paraguayos eligen Presidente para los próximos cinco años. Gana Nicanor Duarte Frutos, de la Asociación Nacional Republicana (ANR o Partido Colorado, en el poder desde 1947) con el 37,3% de los votos. Le sigue Julio César Franco, del Partido Liberal Radical Auténtico (PLRA), ex vicepresidente de González Macchi, con el 23,85%; y Pedro Fadul, del movimiento Patria Querida, con el 21,72%. "
