"","new_line","line","month","day","protest","march.demonstration","strike","occupation","blockade","hunger.strike","location","number","police","violence","damage","organization","text"
"43",16,93,0,0,1,1,0,0,0,0,"Ciudad de M�xico, Distrito Federal","",0,0,0,"Uni�n Nacional de Trabajadores (UNT), Frente Sindical Mexicano (FSM), Di�logo Nacional y el Comit� Nacional de Organismos Rurales y Pesqueros (CONORP), Movimiento Urbano Popular (MUP), Sindicato Nacional de Trabajadores de la Universidad Nacional Aut�noma de M�xico (STUNAM), Alianza de Tranviarios de M�xico (ATM), Coordinadora Nacional de Trabajadores de la Educaci�n (CNTE), Sindicato Mexicano de Electricistas (SME)","El Movimiento Nacional por la Soberanía Alimentaria y Energética, los Derechos de los Trabajadores y Libertades Democráticas, formado por la Unión Nacional de Trabajadores (UNT), el Frente Sindical Mexicano (FSM), el Diálogo Nacional y el Comité Nacional de Organismos Rurales y Pesqueros (CONORP), entre otros, organizan una jornada de manifestación desde el Ángel de la Independencia hasta el Zócalo, en la capital del país, la cual convoca a electricistas, mineros, telefonistas, trabajadores universitarios, tranviarios, estudiantes, campesinos, maestros disidentes, organizaciones urbanas y sociales, que llegan a la plancha capitalina para hacer patente que “la insatisfacción social se generaliza” y que existe una “crisis política y social” del régimen de Felipe Calderón. Los mineros hacen paros escalonados en 3 secciones. Organizaciones del Movimiento Urbano Popular (MUP) cierran las casetas de la carretera México-Cuernavaca y México-Puebla, y marchan en diversos contingentes desde Indios Verdes hasta la Plaza de las Tres Culturas. El Sindicato Nacional de Trabajadores de la Universidad Nacional Autónoma de México (STUNAM) y la Alianza de Tranviarios de México (ATM) realizan marchas en el sur de la ciudad. Los sobrecargos realizan una manifestación en el Aeropuerto Internacional de la Ciudad de México (AICM). La Coordinadora Nacional de Trabajadores de la Educación (CNTE) ocupa las instalaciones de la Secretaría de Educación Pública (SEP) y del Instituto de Salud y Servicios Sociales para los Trabajadores del Estado (ISSSTE) en diversos estados, mientras los telefonistas llevan a cabo paros de una hora en todas las secciones gremiales y los jubilados del Sindicato Mexicano de Electricistas (SME) realizan volanteos. "
"116",18,95,0,0,1,1,0,0,0,0,"Estados de M�xico, Jalisco, Tlaxcala, Morelos, Guerrero, Distrito Federal","",0,0,0,"","Organizaciones sociales y ciudadanos que padecen la contaminación del agua y la que provoca la basura, así como los que enfrentan la imposición de proyectos habitacionales, carreteros y de rellenos sanitarios, de numerosas localidades del estado de México, Jalisco, Tlaxcala, Morelos, Guerrero y Distrito Federal marchan a las sedes de la Comisión Nacional del Agua (CONAGUA) y a la Secretaría de Medio Ambiente y Recursos Naturales (SEMARNAT) para exigir un cambio a la legislación que proteja efectivamente al medio ambiente. En el contexto del 2° Informe de gobierno del presidente Felipe Calderón y luego de que el domingo por la noche se efectuó la primera Asamblea de Afectados Ambientales, que congregó a representantes de localidades de varios estados del país, se realizan mítines frente a las instalaciones de los organismos encargados de la política ambiental y de la gestión del agua. Frente a la Torre de Rectoría, en Ciudad Universitaria (CU), alrededor de las 11 de la mañana, centenares de personas se congregan para caminar rumbo a la CONAGUA. Encabezan la marcha con una gran manta con la leyenda: “No al colapso ambiental de México”. Atrás de ella caminan contingentes como el del Frente de Pueblos de Morelos, el Movimiento Ciudadano en contra del Relleno Sanitario de Loma de Mejía, de El Salto, Jalisco, y habitantes de Jilotzingo, estado de México, entre otros. En la SEMARNAT, una comisión de los afectados es atendida por funcionarios que se comprometen a establecer mesas de negociación en todos los casos, ya que los representantes no aceptan volver a sus comunidades para dialogar con las autoridades locales, ya que de ellas no han obtenido respuesta. "
"117",20,99,0,0,1,1,0,0,0,0,"","",0,0,0,"Calidad de la Educaci�n (ACE), Trabajadores de la Educaci�n (SNTE)","Palacios de gobierno cercados, oficinas gubernamentales rodeadas, toma de casetas, escuelas en paro, miles de alumnos sin clases y movilizaciones en todo el país son las acciones que se concretan como parte de la jornada nacional de lucha del magisterio para repudiar las reformas del gobierno federal, la Alianza por la Calidad de la Educación (ACE) signada entre Elba Esther Gordillo y Felipe Calderón, y la intención de la maestra de desaparecer a las normales. En Oaxaca, los 70 mil trabajadores afiliados a la sección 22 del Sindicato Nacional de Trabajadores de la Educación (SNTE) se suman al paro y suspenden actividades en toda la entidad, por lo que 1.200.000 alumnos de preescolar, primaria, secundaria y nivel medio superior de las 13.500 escuelas se quedan sin clases. En Michoacán, el magisterio disidente y normalistas bloquean los accesos de Palacio de Gobierno, las oficinas del ISSSTE y Hacienda, la Secretaría de Finanzas estatal, la Secretaría de Agricultura, el Tribunal de Justicia Federal y la Secretaría de Educación del Estado (SEE). Al menos 60% de las escuelas de educación básica suspenden labores. En la capital del país, las 5 escuelas normales paralizan sus actividades –algunas de ellas parcialmente–, mientras contingentes de opositores se manifiestan frente a la Subsecretaría de Educación Básica, la Administración Federal de Servicios Educativos y el edificio sede la SEP. En Guerrero cerca de 20 mil disidentes se suman a esta jornada y exigen al gobernador perredista Zeferino Torreblanca retractarse de la alianza. La manifestación, se inicia a las 10 de la mañana con el bloqueo de los 4 carriles de alta velocidad y 2 laterales de la Autopista del Sol México-Acapulco. En Chihuahua, maestros del Movimiento Resssiste ocupan las casetas en el municipio de Villa Ahumada, ubicado a 130 km. de Ciudad Juárez, y permiten el paso gratis a los conductores. En Querétaro, cerca de 2 mil docentes suspenden actividades y se plantan en las instalaciones de la Unidad de Servicios de la Educación Básica de Querétaro (USEBEQ), para exigir el cese del descuento del impuesto sobre la renta (ISR) en prestaciones y demandar al gobierno estatal que no ratifique el pacto entre Gordillo y Calderón. De acuerdo con la USEBEQ, aproximadamente 15 mil alumnos de 150 escuelas de educación básica no asisten a clases y, según los propios mentores, son más de 300 escuelas en todo el estado que están en paro de un total de 2 mil planteles educativos. En Veracruz, maestros y trabajadores de la Escuela Normal Veracruzana Enrique C. Rébsamen realizan bloqueos a los accesos al plantel y advierten que si este jueves el gobernador Fidel Herrera no da respuesta a su demanda de que se desconozca la alianza, rodearán el palacio de gobierno. A causa del bloqueo en el edificio escolar, mil 200 alumnos pierden clases. En Tlaxcala, alumnos de la Universidad Autónoma local, normalistas, pensionados y jubilados marchan por las principales calles de la capital y realizan mítines en la Unidad de Servicios Educativos, en la delegación del ISSSTE, el Congreso y en Palacio de Gobierno. En Jalisco, organizaciones como la Coordinadora Estatal del Movimiento Urbano Popular, la disidencia magisterial aglutinada en el Movimiento de Bases Magisteriales y estudiantes de la Normal Rural de Atequiza se manifiestan en el centro de la capital, el aeropuerto y la sede de Petróleos Mexicanos (PEMEX), que son ocupadas simbólicamente. "
"11",22,104,0,0,1,1,0,0,0,0,"Tuxtla Guti�rrez, Chiapas","10000+",0,0,0,"","Al menos 10 mil personas se movilizan en Tuxtla Gutiérrez, Chiapas, así como en Ocosingo, Palenque, Marqués de Comillas, Arriaga, Suchiate, Coita, Berriozabal, Tonalá, Tapachula y otros 20 municipios del estado, con la frase “para que vivamos mejor”, en ironía ante el programa popular de Calderón. En el municipio de Suchiate, organizaciones sociales bloquean los accesos al Puente internacional Suchiate II, que comunica a México con Guatemala. Los participantes repudian “las medidas entreguistas y antipopulares del régimen de Felipe Calderón, como la privatización del petróleo, la reforma de la Ley del ISSSTE, el Tratado de Libre Comercio de América del Norte (TLCAN), la reforma al Código Penal, el alza de precios, la crisis alimentaria, la baja de los salarios, la falta de democracia y la agresión a las justas luchas del pueblo trabajador”. "
"19",24,106,0,0,0,0,0,0,0,0,"","",0,0,0,"","Amnistía Internacional (AI) manifiesta que “garantizar un clima de seguridad pública forma parte de las obligaciones internacionales que el Estado mexicano ha contraído mediante numerosos tratados internacionales de derechos humanos”, sin embargo, desde hace varios años existen múltiples muestras de que esa responsabilidad no ha sido asumida cabalmente por el propio Estado “que las suscribió voluntariamente”. Esta organización internacional, con sede en Londres, subraya en un comunicado de prensa que donde la seguridad pública no es una realidad “hay un Estado donde los derechos humanos no se respetan”. AI sostiene que el Acuerdo Nacional por la Seguridad, la Justicia y la Legalidad, signado hace 2 semanas, no cuenta con el compromiso “de todos los representantes del Estado mexicano de poner el respeto, protección y cumplimiento de los derechos humanos en el centro de las medidas y objetivos de dicha iniciativa”. "
"112",26,108,0,0,1,1,0,0,0,0,"Ciudad de M�xico, Distrito Federal","",0,0,0,"Liga Mexicana de Defensa y Promoci�n de los Derechos Humanos (LIMEDDH)","Miembros de la Liga Mexicana de Defensa y Promoción de los Derechos Humanos (LIMEDDH), así como padres, familiares y amigos de los 4 estudiantes mexicanos ultimados el 1° de marzo pasado en un campamento de las Fuerzas Armadas Revolucionarias de Colombia (FARC) instalado en Ecuador, se manifiestan frente a la embajada del país sudamericano en demanda de justicia y anuncian que el primer día de cada mes repetirán la protesta en ese lugar. "
"87",28,110,0,0,1,1,0,0,0,0,"Estado de Chiapas","",0,0,0,"Junta de Buen Gobierno (JBG)","La Junta de Buen Gobierno (JBG) Corazón del arcoiris de la esperanza, del caracol de Morelia, denuncia una serie de agresiones perpetradas por integrantes de la Organización para la Defensa de los Derechos Indígenas y Campesinos (OPDDIC) en las inmediaciones de K’an akil, municipio autónomo Olga Isabel, Chiapas. Hubo varios tiroteos, “sin razón ni motivo”, contra campesinos zapatistas, uno de los cuales resultó herido de bala en el abdomen. El 29 de agosto, detalla la JBG, “a eso de las 10:30 hs., nuestros compañeros realizaron un trabajo de medir un terreno recuperado denominado K’an akil, vecino (a) donde vive un grupo de paramilitares de la organización ya conocida, OPDDIC, en Najchejeb”, quienes los agredieron junto con pobladores de la ranchería Sombra Baxil. "
"103",30,112,0,0,1,1,0,0,0,0,"","300+",0,0,0,"Sobrecargos de AEROMEXICO, Mexicana de Aviaci�n","Más de 300 sobrecargos de AEROMEXICO y Mexicana de Aviación realizan una marcha en los pasillos del AICM en defensa de su contrato colectivo de trabajo. La secretaria general de la Asociación Sindical de Sobrecargos de Aviación de México (ASSA), advierte que el gremio no dará marcha atrás en las conquistas laborales y denuncia la intención empresarial de recortar su contrato colectivo ante los problemas financieros que enfrentan las empresas del sector. "
"15",32,118,0,0,1,0,0,1,0,0,"","300~",0,0,0,"Movimiento Social de Izquierda (MSI)","Alrededor de 300 campesinos indígenas de al menos 7 municipios de Guerrero agrupados en el Movimiento Social de Izquierda (MSI), se apoderan de las oficinas del Fideicomiso de Riego Compartido (FIRCO), para exigir la entrega de 3.400 tns de fertilizante. "
"55",37,122,0,0,0,0,0,0,0,0,"","",0,0,0,"","En un pronunciamiento emitido para conmemorar la fundación de la Asamblea de Radios Libres y Comunitarias de Oaxaca, ésta resuelve seguir utilizando el espacio radioeléctrico con fines sociales y exige al Estado mexicano reformar las leyes Federal de Radio y Televisión, y de Telecomunicaciones, para que respondan a las necesidades de comunicación de sus pueblos y comunidades. Además, exige el cese inmediato del hostigamiento, censura, persecución y desmantelamiento de los proyectos de comunicación libres y comunitarios, así como el alto a la represión, desaparición y asesinato de periodistas y comunicadores. Demandan reconocer real y plenamente el derecho a la información y comunicación de los pueblos y comunidades indígenas, así como el derecho de adquirir y administrar sus propios medios, reglamentando el artículo 2° de la Constitución. "
