"","new_line","line","month","day","protest","march.demonstration","strike","occupation","blockade","hunger.strike","location","number","police","violence","damage","organization","text"
"3",33,169,0,0,1,0,0,0,0,1,"Regi�n de B�o B�o, Regi�n de La Araucan�a","",0,0,0,"La Gente Mapuche","Casi la totalidad de los presos mapuches en huelga de hambre en las Cárceles de las regiones del Bío Bío y La Araucanía, deponen la medida que, por 82 días consecutivos, llevaban a cabo para continuar un camino de diálogo con el Gobierno en torno a sus demandas. Para conseguir el ﬁn de la huelga, el Gobierno desplegó esfuerzos en Concepción, con gestiones bajo la mediación del obispo Ricardo Ezzati, con los voceros de los presos de las cárceles de Concepción, que actuaron también a nombre de los reclusos de Temuco, Lebu y Valdivia. Mientras, en la capital de La Araucanía, el ministro del Interior, Rodrigo Hinzpeter, y el secretario general de la Presidencia, Cristián Larroulet, se reunieron con el núcleo más duro de la protesta, representado en los voceros de Angol. Finalmente, la mayor parte de los mapuches en huelga de hambre (24 correspondientes a los penales de Concepción, Lebu y Temuco) deponen la medida, mientras 10 recluidos en la cárcel de Angol (IX Región de La Araucanía) continúan con su protesta, al considerar insuﬁciente lo alcanzado. El Presidente Sebastian Piñera deﬁende las propuestas planteadas por el Gobierno para permitir el cese de la medida, y, en cuanto a la Ley de Justicia Militar, “para que los civiles sean siempre juzgados por tribunales civiles y no por tribunales militares y, en cuanto a la Ley Antiterrorista, para terminar con la presunción, para hacer más justas las penas y para mejorar el debido proceso”."
"15",39,173,0,0,1,0,0,1,0,0,"Santiago de Chile, Santiago","",0,0,0,"La Gente Mapuche","Los mapuches que se encontraban en el interior del ediﬁcio de la Comisión Económica para América Latina y el Caribe (CEPAL) en Santiago, desde el 23 de septiembre, en apoyo a los presos políticos mapuches en huelga hambre, abandonan la sede, tras el término de la huelga de hambre por parte de la mayoría de los comuneros. Paralelamente, el ministro de Salud, Jaime Mañalich, explica que, durante la primera semana, los 24 comuneros que depusieron la huelga en Concepción, Temuco y Lebu deberán recibir un máximo de 800 calorías al día y tendrán una dieta líquida. La recomendación la hace durante una serie de visitas a cárceles y hospitales donde se encuentran los presos mapuches. El Secretario de Estado adelanta además que, de seguir la dieta, los presos podrían recuperar su condición ﬁsica en un mes."
"17",41,175,0,0,1,0,0,0,0,1,"Santiago de Chile, Santiago","7",0,0,0,"Empleados de Transaraucaria","Siete empleados de la empresa Transaraucaria, que opera en la zona H del Transantiago, inician una huelga de hambre en protesta por sus malas condiciones laborales y los incumplimientos en pago de sueldos e imposiciones. Los trabajadores denuncian que sus remuneraciones no han sido canceladas hace tres meses, además de dos años de imposiciones impagas, y buscan que el ministro de Transporte Felipe Morandé dé una respuesta “a las demandas de 650 trabajadores y sus familias”. Por eso, Hernán Ulloa Leiva, Christian Cid Ríos, Michel Ibarra San Martín, José Contreras Fuentes, Denis Vargas, Luis Díaz Meneses y Ángel Villanueva López han iniciado una huelga de hambre líquida que al undécimo día, si no obtienen respuesta a sus demandas, se transformará en seca."
"7",48,184,0,0,0,0,0,0,0,0,"","",0,0,0,"","El ministro secretario general de la Presidencia, Cristián Larroulet, es enfático en establecer que no habrá una nueva oferta del Gobierno para los mapuches de Angol que se mantienen en huelga de hambre. Los mapuches presos de la cárcel de Angol consideran insuﬁciente el compromiso del Gobierno de recaliﬁcar las querellas por la Ley Antiterrorista, planteando que el acuerdo no garantiza que el Ministerio Público no continuará aplicando dicho marco legal en sus causas. Señalan que continuarán con la huelga “hasta las últimas consecuencias”. Por su parte, el Gobierno anuncia que esta semana retirará las querellas por Ley Antiterrorista, para dar cumplimiento a su parte del compromiso."
"6",54,188,0,0,0,0,0,0,0,0,"","",0,0,0,"","Concluida la huelga de hambre de la mayoría de los comuneros mapuche, el Presidente Sebastián Piñera llama a los presos de la cárcel de Angol a sumarse al cese del ayuno. A su vez, el arzobispo de Temuco, Manuel Camilo Vial, indica que la Iglesia Católica continuará con su rol de facilitadora a cargo del arzobispo de Concepción, Ricardo Ezzati."
"21",56,190,0,0,1,1,0,0,0,0,"Copiapo, Atacama","",0,0,0,"Empleados de Minera San Esteban","Un grupo de empleados de la Minera San Esteban recorre, con lienzos y pancartas, las calles de Copiapó, capital de la III Región de Atacama, acusando que aún no reciben sus remuneraciones del mes de septiembre y además exigen medidas concretas del Gobierno para regularizar su situación laboral, dado que, ante la ausencia de ﬁniquitos, no están en condiciones de contrato en otra empresa."
"8",62,194,0,0,1,0,1,0,0,0,"Santiago de Chile, Santiago","800",0,0,0,"Sindicato 1 de Farmacias Ahumada, Federaci�n de Farmacias","En Santiago inician un paro de actividades 800 trabajadores del Sindicato 1 de Farmacias Ahumada de todo el país. Los empleados, entre los que se encuentran vendedores, auxiliares de farmacia y bodegueros, solicitan un sueldo base similar a la remuneración mínima. Mauricio Acevedo, presidente de la Federación de Farmacias, dice que el sueldo base que perciben asciende sólo a los S 30 mil."
"18",68,200,0,0,0,0,0,0,0,0,"","",0,0,0,"","Sufre un cuadro de taquicardia Felipe Huenchullan, uno de los mapuches de Angol que se mantiene en huelga de hambre, el cual es internado en el Hospital de Victoria. El director regional de Gendarmería, coronel Marcos Fuentes Mercado, aclara sobre el estado de salud del comunero, luego que el vocero de los huelguistas, Rodrigo Curipan, señalara que éste habría sufrido un preinfarto. “Tuvo una especie de taquicardia, pero fue debidamente compensado por los médicos”, indica el jefe del servicio de prisiones. Según Fuentes, los exámenes a Huenchullán determinan que se encuentra “estabilizado” y sin mayores inconvenientes de salud."
"11",74,205,0,0,1,1,0,0,0,0,"Santiago de Chile, Santiago","",1,1,0,"Federaci�n de Estudiantes de la Universidad de Chile (FECH), Confederaci�n de Estudiantes de Chile (CONFECH)","En Santiago, Carabineros mediante efectivos de Fuerzas Especiales, procede a sofocar una manifestación en el exterior del Palacio de Tribunales de un grupo de estudiantes que marchan en apoyo a la demanda de los comuneros mapuches que continúan presos en Angol. Se registran al menos una veintena de detenidos en los disturbios protagonizados fundamentalmente por estudiantes, tras ser convocados por la Federación de Estudiantes de la Universidad de Chile (FECH) junto a secundarios agrupados en la ACES, además de otras federaciones, dentro y fuera de la Confederación de Estudiantes de Chile (CONFECH). Los incidentes ocurren poco después de la salida, desde el recinto, de voceros de los comuneros huelguistas que se reunían con el Presidente de la Corte Suprema, Milton Juica, cuando los estudiantes saltan las vallas de contención e intentan ingresar al ediﬁcio."
"14",80,209,0,0,0,0,0,0,0,0,"","",0,0,0,"","Los comuneros mapuches en huelga de hambre en Angol resuelven deponer la medida de presión que llevaron a cabo por 75 días consecutivos. En una breve declaración, el ministro secretario general de la Presidencia, Cristián Larroulet, indica que las conversaciones realizadas, tendientes a deponer la huelga de hambre, han terminado satisfactoriamente. Por su parte, el vocero Jorge Huenchullán precisa, en radio Bio-Bio, que “si bien es cierto se ha logrado algún acuerdo, pero no es de total satisfacción para los hermanos mapuche. Desde un principio, dejamos en claro que no eran suﬁcientes”. No obstante subraya que “claramente, aquí se tomaron consideraciones de carácter humanitario, también consideramos que algunos gestos que había hecho el Gobierno como la liberación de algunos hermanos por Ley Antiterrorista, también daban motivo para que nuestros hermanos depusieran la huelga de hambre”. Por ello, indica que la mesa continúa, ya que sólo hay tres puntos de acuerdo del petitorio que se concretaron, por lo que las tratativas ahora se focalizarán en los otros temas pendientes, como es el derecho de territorio, y las materias que también motivaron la huelga de hambre”. En términos formales, el Ejecutivo no suma ningún nuevo ofrecimiento a los ya hechos y que logran el ﬁn del ayuno de los comuneros de Concepción, Temuco y Lebu."
