"","new_line","line","month","day","protest","march.demonstration","strike","occupation","blockade","hunger.strike","location","number","police","violence","damage","organization","text"
"17",1,7,1,0,0,0,0,0,0,0,"","",0,0,0,"","Perú Agosto 2007 "
"18",1,5,0,0,0,0,0,0,0,0,"","",0,0,0,"","Perú Agosto 2007 "
"16",5,11,0,0,1,1,0,0,0,0,"Piura, Piura","500+",0,0,0,"Organizaciones Sociales, Coordinadora Nacional de Comunidades Peruanas Afectadas por la Miner�a (CONACAMI)","Más de 500 dirigentes de diversas rondas campesinas, organizaciones sociales y comunidades campesinas del norte y oriente del país se reúnen en Piura para analizar las políticas económicas, sociales, agrarias y medioambientales del gobierno. Asiste, entre otras, la Coordinadora Nacional de Comunidades Peruanas Afectadas por la Minería (CONACAMI), gremio que agrupa a 5.900 comunidades. Estas organizaciones no participan del Primer Encuentro Agrario Nacional organizado por el gobierno central en la plaza de Acho, en Lima, pues sostienen que las autoridades sólo intentan manipular a los distintos gremios sin proponer medidas efectivas para el agro. Asimismo, en el Primer Encuentro Agrario Nacional queda conformada una mesa de diálogo permanente entre el gobierno y distintos gremios agrarios. "
"12",9,15,0,0,0,0,0,0,0,0,"","",0,0,0,"","Los medios de comunicación informan que la Dirección Nacional contra el Terrorismo (DIRCOTE) comienza una investigación contra las líderes cocaleras y congresistas nacionalistas Nancy Obregón Peralta y Elsa Malpartida Jara por su relación con el movimiento Todas las Voces, cuyos integrantes están vinculados con organizaciones políticas ""chavistas"" y con un presunto plan para atentar contra la residencia del embajador de los EE.UU. en Lima."
"8",10,17,0,0,0,0,0,0,0,0,"","",0,0,0,"","La Confederación General de Trabajadores del Perú (CGTP) se retira de la mesa de diálogo impulsada por el presidente Alan García durante su mensaje de Fiestas Patrias el mes pasado, conocida como Pacto Social, donde participan sectores políticos, sociales, laborales y empresariales, luego de que la ministra de Trabajo, Susana Pinilla, los califica de "
"10",12,19,0,0,0,0,0,0,0,0,"","",0,0,0,"","Las principales centrales sindicales del país se reúnen con una delegación de congresistas norteamericanos que llega al Perú para reunirse con representantes del gobierno y los sectores vinculados a la ratificación del TLC entre Perú y los EE.UU. En la reunión, que se realizó en el hotel Marriot de Miraflores, participan los dirigentes de la CGTP, la Confederación de Trabajadores del Perú (CTP) y la Central Unitaria de Trabajadores del Perú (CUT)."
"6",16,24,0,0,1,1,0,0,0,0,"Provincias de Cajabamba, Cajamarca, y San Marcos","1000~",0,0,0,"Frente de Defensa de la Cuenca del R�o Cajamarquino, Federaci�n Regional de Rondas Campesinas de Cajamarca","Encabezados por el Frente de Defensa de la Cuenca del río Cajamarquino y por la Federación Regional de Rondas Campesinas de Cajamarca, alrededor de 1.000 comuneros de las provincias de San Marcos, Cajabamba y Cajamarca, localizadas al sur de la región Cajamarca, marchan desde distintos puntos del valle de Condebamba hasta las faldas de Cerro Mogol, donde la empresa Miski Mayosubsidiaria de la brasileña Compañía Valle de Río Dulceexplora oro y cobre. Los campesinos llegan a la entrada del campamento y se apuestan en el lugar, donde permanecerán hasta que una comisión que viaja a la ciudad de Cajamarca consiga resultados positivos. Miski Mayo opera en la zona desde hace 3 años y es titular de una concesión de 13 mil hectáreas y sus labores de exploración minera comprometen a unos 20 poblados ubicados en las riberas del río Cajamarquino. Desde el inicio de sus actividades, el comportamiento de la concesionaria ha motivado una serie de denuncias por su trato agresivo hacia los líderes opositores al proyecto. Hace un mes, 3 de ellos, Víctor López Cotrina, Jorge Dilas Soria y David Misahuamán Quilichi, de la comunidad de Cochas, fueron atacados con armas de fuego por personal de seguridad de la empresa. "
"20",20,28,0,0,0,0,0,0,0,0,"","",0,0,0,"","Se instala en Cajamarca una mesa de diálogo para evaluar el impacto de la actividad minera de la empresa brasileña Miski Mayo en el valle Condebamba. La decisión es acordada durante una reunión entre las autoridades del Gobierno Regional de Cajamarca, el gobernador, comuneros y dirigentes del Valle Condebamba."
"9",21,30,0,0,0,0,0,0,0,0,"","",0,0,0,"","La Policía Nacional del Perú (PNP) captura a 21 presuntos integrantes de Sendero Luminoso (SL) requeridos por la justicia, en una operación realizada de manera simultánea en los valles de El Monzón y El Alto Huallaga. También se informa de detenciones en Lima y Cañete."
"15",25,34,0,0,1,1,0,0,0,0,"Lima, Lima","3000+",0,0,0,"Federaci�n de Organizaciones Vecinales de Lima y Callao (FOVELIC)","Más de 3 mil pobladores de diversos asentamientos humanos, agrupados en la Federación de Organizaciones Vecinales de Lima y Callao (FOVELIC), marchan rumbo a la municipalidad de Lima para exigir la titulación de sus viviendas. Protestan porque la falta de documentos les impide, entre otros puntos, acceder a créditos, servicios básicos y programas del estado como A Trabajar Urbano y Techo Propio. "
