"","new_line","line","month","day","protest","march.demonstration","strike","occupation","blockade","hunger.strike","location","number","police","violence","damage","organization","text"
"17",3,7,1,0,0,0,0,0,0,0,"","",0,0,0,"","Enero Viernes 2"
"30",5,11,0,0,1,0,0,0,1,0,"","",0,0,0,"Asociaci�n de Funcionarios del Centro Asistencial del Sindicato de M�dicos del Uruguay (AFCASMU)","La Asociación de Funcionarios del Centro Asistencial del Sindicato de Médicos del Uruguay (AFCASMU) realiza cortes de calle en la puerta de 4 centros asistenciales de la mutualista del Centro Asistencial del Sindicato de Médicos del Uruguay (CASMU), en reclamo del pago de atrasos salariales y mejora en las condiciones laborales. "
"11",9,15,0,0,0,0,0,0,0,0,"","",0,0,0,"","El presidente Batlle recibe una delegación de congresistas norteamericanos para evaluar la posibilidad de incorporar a Uruguay al Área de Libre Comercio de las Américas (ALCA). "
"14",14,19,0,0,1,1,0,0,0,0,"Montevideo, Montevideo","",0,0,0,"Sindicato �nico de las Telecomunicaciones (SUTEL)","El Sindicato Único de las Telecomunicaciones  (SUTEL) realiza una concentración frente a la Torre de Telecomunicaciones en Montevideo,  en reclamo de salarios atrasados y por el pago de beneficios sociales a becarios y pasantes del Instituto Nacional de la Juventud que realizan trabajos en la Administración Nacional de Telecomunicaciones (ANTEL). "
"50",18,23,0,0,1,1,0,0,0,0,"Montevideo, Montevideo","500~",0,0,0,"Despertares, Organizaci�n Nacional de Jubilados y Pensionistas del Uruguay (ONAJPU), Coordinadora Nacional de Jubilados y Pensionistas","Unos 500 jubilados y pensionados, convocados por la coordinadora barrial “Despertares”, se concentran frente a la Terminal Goes  y cortan la Av. Gral. Flores en reclamo de un aumento de 500 pesos en las jubilaciones, el pago del aguinaldo y una jubilación mínima de 6 mil pesos. La Organización Nacional de Jubilados y Pensionistas del Uruguay (ONAJPU) y por la Coordinadora Nacional de Jubilados y Pensionistas respaldan la convocatoria. "
"25",22,27,0,0,1,0,1,0,0,0,"Montevideo, Montevideo","",0,0,0,"Asociaci�n de Funcionarios del Centro Asistencial del Sindicato de M�dicos del Uruguay (AFCASMU)","La AFCASMU lleva a cabo un paro de 24 hs y realiza una asamblea general en el centro de Montevideo cortando la intersección de las calles  8 de Ocubre y Abreu, en el marco del conflicto que mantiene con la mutualista CASMU."
"44",25,32,0,0,1,0,0,0,1,0,"Montevideo, Montevideo","",0,0,0,"Asociaci�n de Funcionarios del Centro Asistencial del Sindicato de M�dicos del Uruguay (AFCASMU)","Trabajadores de AFCASMU realizan un paro parcial, cortan el tránsito y ocupan el Sanatorio 1 y la policlínica de Av. Agraciada y Valentín Gomez, en Montevideo. "
"8",27,36,0,0,0,0,0,0,0,0,"","",0,0,0,"","El Comité Interamericano Contra el Terrorismo (CICTE) comienza a sesionar por 3 días en Montevideo, con delegados de los 34 países miembros de la Organización de Estados Americanos (OEA) para tratar la amenaza terrorista en el continente. Cofer Black, coordinador de EE.UU. para la lucha antiterrorista, anuncia que el gobierno de su país no identificó “células de la organización terrorista Al Qaeda en América Latina” como sospechaba. Sin embargo, declara que junto a los demás integrantes del CICTE, se proponen intensificar los controles de espacios fronterizos y cibernéticos y mejorar la seguridad de puertos y aeropuertos. Asimismo, anuncia que su país donará 1 millón 600 mil dólares para llevar a cabo estas tareas."
"20",31,40,0,0,1,0,0,1,0,0,"","",0,0,0,"Asociaci�n de Funcionarios del Centro Asistencial del Sindicato de M�dicos del Uruguay (AFCASMU)","Funcionarios de AFCASMU ocupan por tiempo indeterminado todos los edificios de la mutualista CASMU, en el marco del conflicto que sostienen desde comienzo de mes. "
"18",33,42,1,0,0,0,0,0,0,0,"","",0,0,0,"","Febrero Lunes 2"
"48",35,46,0,0,1,0,0,0,1,0,"Montevideo, Montevideo","100~",0,0,0,"Asociaci�n de Funcionarios del Centro Asistencial del Sindicato de M�dicos del Uruguay (AFCASMU)","Unos 100 funcionarios de AFCASMU se concentran frente al Sanatorio de 8 de Octubre y Abreu en el centro de Montevideo y cortan la calle."
"47",36,48,0,0,0,0,0,0,0,0,"","",0,0,0,"","Una misión del Fondo Monetario Internacional (FMI) da visto bueno a los planes de negocios y reestructuración del Banco de la República Oriental del Uruguay (BROU) y acuerda con directivos de la entidad la creación de un fideicomiso. "
"19",40,52,0,0,0,0,0,0,0,0,"","",0,0,0,"","Funcionarios de AFCASMU aceptan la propuesta del CASMU y levantan las medidas de fuerza que sostienen desde comienzos de enero. La mutualista acuerda con el sindicato el pago de los haberes atrasados y un cambio en el modelo asistencial, centrado en la prevención."
"39",43,59,0,0,1,0,1,0,0,0,"","",0,0,0,"Uni�n de Trabajadores del Transporte (UNOTT)","La Unión de Trabajadores del Transporte (UNOTT) inicia un paro en reclamo de un aumento salarial de acuerdo al 100% del Índice de Precios al Consumidor (IPC). "
"40",47,63,0,0,0,0,0,0,0,0,"","",0,0,0,"","Los funcionarios del Registro Civil suspenden las medidas de fuerza iniciadas hace 15 días, luego de que el Poder Ejecutivo les comunica que recibirán los salarios de este mes sin el descuento del 20% en los bonos sociales, tal como había anunciado el Banco de Previsión Social (BPS). "
"29",51,67,0,0,1,0,1,0,0,0,"","",0,0,0,"Asociaci�n de Funcionarios de la Corte Electoral de Uruguay (AFEU)","La Asociación de Funcionarios de la Corte Electoral de Uruguay (AFEU) inicia un paro en reclamo de un aumento salarial y que se les reconozca como un sindicato legítimo. "
"42",53,69,1,0,0,0,0,0,0,0,"","",0,0,0,"","Marzo Lunes 1"
"22",55,73,0,0,1,0,1,0,0,0,"Montevideo, Montevideo","",0,0,0,"Asociaci�n de Obreros y Empleados Municipales (ADEOM)","Funcionarios registrales, en conflicto desde hace más de un mes, inician un paro total de actividades con el apoyo de los trabajadores de la Oficina del Registro Civil de la Intendencia Municipal de Montevideo (IMM) que pertenecen a la Asociación de Obreros y Empleados Municipales (ADEOM). Deciden profundizar las medidas de fuerza luego de la demora producida en el pago de sus salarios."
"10",56,75,0,0,1,1,0,0,0,0,"Montevideo, Montevideo","",0,0,0,"Plenario Intersindical de Trabajadores-Convenci�n Nacional de Trabajadores (PITCNT), Federaci�n de Estudiantes Universitarios del Uruguay (FEUU), Federaci�n Uruguaya de Cooperativas de Vivienda por Ayuda Mutua (FUCVAM), Comisi�n de Organizaciones Sociales de Uruguay, Coordinadora de Jubilados y Pensionados, C�rculo Bolivariano","El Plenario Intersindical de Trabajadores-Convención Nacional de Trabajadores (PITCNT), la Federación de Estudiantes Universitarios del Uruguay (FEUU), la Federación Uruguaya de Cooperativas de Vivienda por Ayuda Mutua (FUCVAM), la Comisión de Organizaciones Sociales de Uruguay, la Coordinadora de Jubilados y Pensionados y el Círculo Bolivariano realizan una manifestación frente a la embajada de EE.UU. en Montevideo, en rechazo a la presunta invasión de dicho país a Venezuela y por el respeto a la soberanía del pueblo venezolano."
"31",60,79,0,0,1,0,1,0,0,0,"","",0,0,0,"Asociaci�n de Funcionarios del Registro Civil (AFURECI)","La Asociación de Funcionarios del Registro Civil (AFURECI) levanta el paro total de actividades iniciado el día anterior, luego de cobrar los haberes de enero. Sin embargo, mantiene algunas medidas de fuerza en exigencia de que se conforme una mesa de Miércoles  3"
"34",62,86,0,0,1,0,1,0,0,0,"","",0,0,0,"Federaci�n de Funcionarios de Salud P�blica (FFSP)","La Federación de Funcionarios de Salud Pública (FFSP) inicia un paro nacional de 48 hs en reclamo de un aumento diferencial de 100 pesos por funcionario, acordado con la finalización del conflicto llevado adelante el año pasado. "
"4",66,90,0,0,1,0,1,0,0,0,"","",0,0,0,"Federaci�n de Transporte de Bebida (FETRABE)","Camioneros de la Federación de Transporte de Bebida (FETRABE) inician un paro por tiempo indeterminado en la distribución de bebidas de las compañía Salus, Matutina y Pepsi-Cola, en reclamo de que se retorne al margen del 35% de ganancia que tenían hasta el año 2002."
"26",70,94,0,0,1,0,1,0,0,0,"Montevideo, Montevideo","",0,0,0,"Asociaci�n de Funcionarios de la Corte Electoral de Uruguay (AFEU)","La AFEU inicia un paro de 48 hs y realiza un corte en la calle 25 de Mayo, en Montevideo, en exigencia de que el Parlamento intervenga ante la violación de sus derechos laborales. "
