Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,1,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,1,1,,,,,"Piura, Piura",500+,,,,"Organizaciones Sociales, Coordinadora Nacional de Comunidades Peruanas Afectadas por la Miner’a (CONACAMI)"
12,,,,,,,,,,,,,,
13,,1,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,1,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,1,1,,,,,"Provincias de Cajabamba, Cajamarca, y San Marcos",1000~,,,,"Frente de Defensa de la Cuenca del R’o Cajamarquino, Federaci—n Regional de Rondas Campesinas de Cajamarca"
25,,,,,,,,,,,,,,
26,,1,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,1,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,1,1,,,,,"Lima, Lima",3000+,,,,Federaci—n de Organizaciones Vecinales de Lima y Callao (FOVELIC)
35,,,,,,,,,,,,,,
36,,1,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,1,,1,,,,"Lima, Lima",,,,,Federaci—n MŽdica Peruana (FMP)
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,1,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,1,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,1,1,,,,,Provincia de Pisco,,1,,1,
54,,,,,,,,,,,,,,
55,,1,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,1,1,,,,,Provincia de Pisco,,1,,1,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,1,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,1,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,1,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,1,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,1,,,,,,,,,,,,
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
