Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,1,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,1,,1,,,,"Provincias de Manab’, Pichincha, Carchi, Chimborazo y Pastaza",,,,,Asociaci—n Nacional de MŽdicos Rurales (ANAMER)
10,,,,,,,,,,,,,,
11,,1,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,1,,,1,,,"Cuenca, Azuay",,,,,Federaci—n de Estudiantes Universitarios del Ecuador (FEUE)
14,,,,,,,,,,,,,,
15,,1,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,1,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,1,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,1,,1,,,,"San Francisco de Quito, Pichincha",,,,,"Asociaci—n de Empleados del Registro Civil, Federaci—n Nacional de Servidores Pœblicos del Registro Civil"
24,,,,,,,,,,,,,,
25,,1,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,1,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,1,1,,,,,"Cuenca, Azuay",,,,,Empleados de la Universidad de Cuenca
34,,,,,,,,,,,,,,
35,,1,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,1,1,,,,,"Loja, Loja",,,,,"Federaci—n Nacional de Organizaciones Campesinas, Ind’genas y Negras (FENOCIN)"
38,,,,,,,,,,,,,,
39,,1,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,1,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,1,1,,,,,"San Francisco de Quito, Pichincha",200+,,,,"Confederaci—n de Nacionalidades Ind’genas del Ecuador (CONAIE), Federaci—n Nacional de Organizaciones Campesinas, Ind’genas y Negras (FENOCIN)"
46,,,,,,,,,,,,,,
47,,1,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,1,1,,,,,"San Francisco de Quito, Pichincha",1500~,,,,Confederaci—n de Afiliados al Seguro Campesino de Ecuador
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,1,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,,,1,1,,,,,"San Francisco de Quito, Pichincha",,,,,"Confederaci—n de Nacionalidades Ind’genas del Ecuador (CONAIE), Federaci—n Nacional de Organizaciones Campesinas, Ind’genas y Negras (FENOCIN), Acci—n Ecol—gica"
57,,,,,,,,,,,,,,
58,1,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,1,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,1,,1,,,,Provincia de Guayas,700,,,,Trabajadores Administrativos de la Refiner’a de Esmeraldas
63,,,,,,,,,,,,,,
64,,1,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,1,,1,,,,,,,,,
67,,,,,,,,,,,,,,
68,,1,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,1,,,,1,,Provincia de Chimborazo,,,,,Federaci—n de Barrios de Riobamba (FEDEBAR)
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,1,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,1,,,,1,,"San Pedro de Riobamba, Chimborazo",1000~,,,,Taxistas
81,,,,,,,,,,,,,,
82,,1,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,1,,1,,,,"San Francisco de Quito, Pichincha",,,,,"Uni—n Nacional de Educadores (UNE), Movimiento Popular Democr‡tico (MPD)"
85,,,,,,,,,,,,,,
86,,1,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,1,,1,,,,,,1,,,Empleados de la Direcci—n de Aviaci—n Civil (DAC)
89,,,,,,,,,,,,,,
90,,1,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,1,,1,,,,"San Francisco de Quito, Pichincha",,,,,Trabajadores del Aeropuerto Mariscal Sucre
93,,,,,,,,,,,,,,
94,1,,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,1,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
101,,,1,,1,,,,,,,,,Autoridades de Imbabura
