Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,1,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,1,1,,,,,"Cotu’, S‡nchez Ram’rez",,,,,
10,,,,,,,,,,,,,,
11,,1,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,1,1,,,,,"Santiago de los Caballeros, Santiago",300~,,,,
14,,,,,,,,,,,,,,
15,,1,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,1,1,,,,,"Santo Domingo, Distrito Nacional",78+,,,,Los çngeles de Villa Esfuerzo
18,,,,,,,,,,,,,,
19,,1,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,1,1,,,,,"Los Alcarrizos, Santo Domingo",,,,,Ministerio Evang_lico y de Restauraci—n Siguiendo las Huellas de Jesœs (MERSHJ)
22,,,,,,,,,,,,,,
23,,1,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,1,1,,,,,"Santo Domingo, Distrito Nacional",,,,,Comit_ Dominicano de los Derechos Humanos (CDH)
26,,,,,,,,,,,,,,
27,,1,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,0,0,,,,,,,,,,Federaci—n Nacional de Transporte Dominicano (FENATRADO)
