Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,1,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,1,,1,,,,"Ciudad de Panamá, Panamá",144,,,,Médicos Especialistas
10,,,,,,,,,,,,,,
11,,,1,,,1,,,"Aguadulce, Cocle",50~,,,,Asociados de la Cooperativa Salinera de Servicios Múltiples Martín Campos
12,,,,,,,,,,,,,,
13,,1,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,1,1,,,,,"Ciudad de Panamá, Panamá",,,,,Comisión Médica Negociadora Nacional (COMENENAL)
16,,,,,,,,,,,,,,
17,,,1,,,,1,,"Ciudad de Panamá, Panamá",,,,,Sindicato Único de Trabajadores de la Construcción y Similares (SUNTRACS)
18,,,,,,,,,,,,,,
19,,1,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,1,,,,1,,Provincia de Colón,,,,,
22,,,,,,,,,,,,,,
23,,1,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,1,1,,,,,"Ciudad de Panamá, Panamá",,,,,Comité de las Víctimas Despedidas por la Ley 25
30,,,,,,,,,,,,,,
31,,,1,,,,1,,"La Chorrera, Panamá Oeste",,,,,Médicos Especialistas
32,,,,,,,,,,,,,,
33,,,1,,,,1,,"Aguadulce, Cocle",,,,,
34,,,,,,,,,,,,,,
35,,1,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,1,,,1,,,Provincia de Los Santos,,,,,
38,,,,,,,,,,,,,,
39,,,1,,,,1,,"Ciudad de Panamá, Panamá",,,,,"Estudiantes de la Universidad de Panamá (UP), Sindicato Único de Trabajadores de la Construcción y Similares (SUNTRACS)"
40,,,,,,,,,,,,,,
41,,1,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,1,1,,,,,"Ciudad de Pamamá, Panamá",,,,,Comisión Médica Negociadora Nacional (COMENENAL)
44,,,,,,,,,,,,,,
45,,1,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,1,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,1,1,,,,,"Arraiján, Panamá Oeste",,,,,
55,,,,,,,,,,,,,,
56,,1,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,1,,1,,,,,,,,,Asociación de Distribuidores de Gas (ADIGAS)
59,,,,,,,,,,,,,,
60,,1,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,1,,1,,,,Provincia de Chiriquí,,,,,Trabajadores de la Cooperativa de Servicios Múltiples de Puerto Armuelles (COOSEMUPAR)
