Line,Month,Day,Protest,March/Demonstration,Strike,Occupation,Blockade,Hunger Strike,Location,Number,Police,Violence,Damage,Organization
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,
165,1,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,1,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,1,,,,,1,"Regi—n de B’o B’o, Regi—n de La Araucan’a",,,,,La Gente Mapuche
170,,,,,,,,,,,,,,
171,,1,,,,,,,,,,,,
172,,,,,,,,,,,,,,
173,,,1,,,1,,,"Santiago de Chile, Santiago",,,,,La Gente Mapuche
174,,,,,,,,,,,,,,
175,,,1,,,,,1,"Santiago de Chile, Santiago",7,,,,Empleados de Transaraucaria
176,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,
182,,1,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,
186,,1,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,
190,,,1,1,,,,,"Copiapo, Atacama",,,,,Empleados de Minera San Esteban
191,,,,,,,,,,,,,,
192,,1,,,,,,,,,,,,
193,,,,,,,,,,,,,,
194,,,1,,1,,,,"Santiago de Chile, Santiago",800,,,,"Sindicato 1 de Farmacias Ahumada, Federaci—n de Farmacias"
195,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,
198,,1,,,,,,,,,,,,
199,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
203,,1,,,,,,,,,,,,
204,,,,,,,,,,,,,,
205,,,1,1,,,,,"Santiago de Chile, Santiago",,1,1,,"Federaci—n de Estudiantes de la Universidad de Chile (FECH), Confederaci—n de Estudiantes de Chile (CONFECH)"
206,,,,,,,,,,,,,,
207,,1,,,,,,,,,,,,
208,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,
211,,1,,,,,,,,,,,,
212,,,,,,,,,,,,,,
213,,,1,1,,,,,"Santiago de Chile, Santiago",7000~,1,,,La Gente Mapuche
214,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,
216,,1,,,,,,,,,,,,
217,,,,,,,,,,,,,,
218,,,1,,,,,1,"Santiago de Chile, Santiago",11,,,,Empleados de Transaraucaria
219,,,,,,,,,,,,,,
220,,,1,1,,,,,,,,,,Alianza Territorial Mapuche
221,,,,,,,,,,,,,,
222,,1,,,,,,,,,,,,
223,,,,,,,,,,,,,,
224,,,1,,,,1,,"Copiapo, Atacama",100,,,,Empleados de Minera San Esteban
225,,,,,,,,,,,,,,
226,,1,,,,,,,,,,,,
227,,,,,,,,,,,,,,
228,,,1,1,,,,,"Santiago de Chile, Santiago",,,,,Empleados de Transaraucaria
229,,,,,,,,,,,,,,
230,,1,,,,,,,,,,,,
231,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,
241,,1,,,,,,,,,,,,
242,,,,,,,,,,,,,,
243,,,1,,,,1,,"San Francisco de Mostazal, O'Higgins",750+,,,,Sindicato de Operaciones del Casino Monticello
244,,,,,,,,,,,,,,
245,,,1,1,,,,,"Santiago de Chile, Santiago",8,1,1,1,
246,,,,,,,,,,,,,,
247,,1,,,,,,,,,,,,
248,,,,,,,,,,,,,,
249,,,1,1,,,,,"Santiago de Chile, Santiago",,,,,
250,,,,,,,,,,,,,,
251,,,1,1,,,,,"Santiago de Chile, Santiago",,,,,"Confederaci—n de Trabajadores de la Salud Municipalizada (CONFUSAM), Comisi—n de Salud de la Asociaci—n Chilena de Municipalidades"
252,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,
260,,,1,1,,,,,"Santiago de Chile, Santiago",117,1,,,Empleados de Farmacias Ahumada
261,,,,,,,,,,,,,,
262,,1,,,,,,,,,,,,
263,,,,,,,,,,,,,,
264,,,1,,1,,,,,,,,,Empleados de Farmacias Ahumada
265,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,
269,,1,,,,,,,,,,,,
270,,,,,,,,,,,,,,
271,,,1,1,,,,,Region de Valpara’so,500+,,,,La Gente Rapa Nui
272,,,,,,,,,,,,,,
273,,,1,,,,1,,"Angostura, O'Higgins/Santiago",13,,,,Sindicato de Operaciones del Casino Monticello
